name,version,release,gps,mass_1,mass_1_upper,mass_1_lower,mass_2,mass_2_upper,mass_2_lower,network_snr,network_snr_upper,network_snr_lower,distance,distance_upper,distance_lower,chi_eff,chi_eff_upper,chi_eff_lower,total_mass,total_mass_upper,total_mass_lower,chirp_mass,chirp_mass_upper,chirp_mass_lower,detector_frame_chirp_mass,detector_frame_chirp_mass_upper,detector_frame_chirp_mass_lower,redshift,redshift_upper,redshift_lower,false_alarm_rate,p_astro,final_mass,final_mass_upper,final_mass_lower
GW190917_114630,v1,GWTC-2.1-confident,1252756008.0,9.7,+3.4,-3.9,2.1,+1.1,-0.4,8.3,+0.5,-0.8,720,+300,-310,-0.08,+0.21,-0.43,11.8,+3.0,-2.8,3.7,+0.2,-0.2,,,,0.15,+0.05,-0.06,0.66,0.77,11.6,+3.1,-2.9
GW190916_200658,v1,GWTC-2.1-confident,1252699636.9,43.8,+19.9,-12.6,23.3,+12.5,-10.0,8.1,+0.3,-0.5,4940,+3710,-2380,0.20,+0.33,-0.31,68.0,+18.3,-13.1,26.9,+8.2,-5.4,,,,0.77,+0.45,-0.32,4.7,0.66,65.0,+17.3,-12.6
GW190915_235702,v2,GWTC-2.1-confident,1252627040.6,32.6,+8.8,-4.9,24.5,+4.9,-5.8,13.1,+0.2,-0.3,1750,+710,-650,-0.03,+0.19,-0.24,57.2,+7.1,-5.3,24.4,+3.0,-2.3,,,,0.32,+0.11,-0.11,≤ 1.0e-05,1.00,54.7,+6.6,-5.0
GW190910_112807,v2,GWTC-2.1-confident,1252150105.3,43.8,+7.6,-6.8,34.2,+6.6,-7.3,14.5,+0.2,-0.3,1520,+1090,-630,0.00,+0.17,-0.20,78.0,+9.3,-9.1,33.5,+4.2,-4.1,,,,0.29,+0.17,-0.11,0.0029,1.00,74.4,+8.5,-8.6
GW190909_114149,v1,GWTC-2,1252064527.7,45.8,+52.7,-13.3,28.3,+13.4,-12.7,9.05,,,3770,+3270,-2220,-0.06,+0.37,-0.36,75.0,+55.9,-17.6,30.9,+17.2,-7.5,49.8,+32.2,-12.4,0.62,+0.41,-0.33,1.11,0.89,72.0,+54.9,-16.8
GW190828_065509,v2,GWTC-2.1-confident,1251010527.8,23.7,+6.8,-6.7,10.4,+3.8,-2.2,10.2,+0.4,-0.5,1540,+690,-650,0.05,+0.16,-0.17,34.3,+5.2,-4.3,13.4,+1.4,-1.0,,,,0.29,+0.11,-0.11,3.5e-05,1.00,33.0,+5.3,-4.3
GW190828_063405,v2,GWTC-2.1-confident,1251009263.7,31.9,+5.4,-4.1,25.8,+4.9,-5.3,16.5,+0.2,-0.3,2070,+650,-920,0.15,+0.15,-0.16,57.2,+7.9,-4.3,24.6,+3.6,-2.0,,,,0.38,+0.10,-0.15,≤ 1.0e-05,1.00,54.3,+7.3,-4.0
GW190814,v3,GWTC-2.1-confident,1249852257.0,23.3,+1.4,-1.4,2.6,+0.1,-0.1,25.3,+0.1,-0.2,230,+40,-50,0.00,+0.07,-0.07,25.9,+1.3,-1.3,6.11,+0.06,-0.05,,,,0.05,+0.01,-0.01,≤ 1.0e-05,1.00,25.7,+1.3,-1.3
GW190805_211137,v1,GWTC-2.1-confident,1249074715.3,46.2,+15.4,-11.2,30.6,+11.8,-11.3,8.1,+0.5,-0.7,6130,+3720,-3080,0.37,+0.29,-0.39,76.7,+19.5,-13.8,31.9,+8.8,-6.3,,,,0.92,+0.43,-0.40,0.63,0.95,72.4,+18.2,-13.2
GW190803_022701,v2,GWTC-2.1-confident,1248834439.8,37.7,+9.8,-6.7,27.6,+7.6,-8.5,9.3,+0.3,-0.5,3190,+1630,-1470,-0.01,+0.23,-0.28,65.0,+12.0,-8.1,27.6,+5.4,-3.8,,,,0.54,+0.22,-0.22,0.073,0.97,62.1,+11.2,-7.6
